age,gender,branch,cgpa,tenth_percentage,twelfth_percentage,backlogs,attendance_percentage,internship_experience,dsa_level,coding_practice,projects_completed,aptitude_level,communication_level,mock_interviews,placement_status
30,Other,Civil,7.24,93.07,81.62,1,59.88,No,Beginner,Regularly,6,Basic,Good,20,Placed
30,Other,ECE,7.3,61.92,75.55,1,90.26,No,Advanced,Regularly,2,Good,Average,0,Not Placed
19,Male,IT,9.32,68.63,54.96,0,59.29,No,Advanced,Occasionally,1,Not Started,Good,4,Placed
29,Other,ECE,7.73,67.76,58.28,1,54.25,Yes,Intermediate,None,10,Not Started,Average,12,Placed
27,Other,Mechanical,6.9,93.34,77.26,0,71.81,No,Advanced,None,4,Basic,Good,20,Placed
21,Other,IT,9.88,84.6,64.23,1,82.92,Yes,Beginner,Occasionally,3,Not Started,Good,13,Placed
29,Female,AI-ML,5.55,90.05,95.04,0,71.89,Yes,Beginner,None,4,Good,Good,8,Not Placed
25,Female,AI-ML,7.11,66.02,89.3,2,63.84,Yes,Intermediate,Occasionally,7,Basic,Average,16,Placed
30,Other,Civil,5.21,82.49,97.21,0,77.91,Yes,Beginner,Regularly,3,Not Started,Good,14,Not Placed
26,Other,IT,8.7,80.16,62.46,1,67.35,Yes,Beginner,Occasionally,8,Not Started,Weak,20,Placed
24,Female,CSE,9.59,91.64,96.55,0,96.64,Yes,Beginner,None,6,Basic,Good,6,Placed
18,Female,IT,6.4,94.87,70.7,3,96.13,Yes,Beginner,Occasionally,9,Basic,Weak,11,Not Placed
20,Male,Mechanical,9.29,55.53,66.68,2,75.12,No,Advanced,Regularly,6,Not Started,Average,5,Placed
30,Male,CSE,6.46,84.66,52.42,0,66.39,Yes,Beginner,None,7,Good,Average,20,Placed
29,Female,Other,9.55,57.28,52.53,0,86.86,No,Intermediate,Regularly,5,Basic,Good,15,Placed
26,Other,Other,8.77,79.15,83.22,1,51.84,No,Intermediate,Regularly,7,Good,Good,4,Placed
29,Other,Other,9.02,67.66,71.98,0,73.74,Yes,Beginner,Occasionally,2,Not Started,Good,8,Placed
18,Other,AI-ML,5.09,68.5,60.87,1,66.82,Yes,Intermediate,Regularly,9,Good,Weak,13,Placed
26,Other,IT,9.81,70.53,79.47,0,96.03,No,Beginner,None,9,Not Started,Average,7,Placed
25,Male,Other,8.63,82.34,62.14,1,50.6,No,Intermediate,Regularly,0,Not Started,Weak,13,Placed
18,Female,ECE,6.52,69.7,77.73,0,77.64,No,Intermediate,Regularly,5,Not Started,Weak,11,Not Placed
23,Other,Civil,9.15,87.24,67.24,1,87.03,No,Beginner,Occasionally,0,Not Started,Good,9,Not Placed
22,Male,ECE,6.41,72.8,89.53,0,74.25,Yes,Beginner,Regularly,8,Good,Good,19,Placed
23,Other,Other,9.36,58.01,89.39,0,54.27,Yes,Advanced,Occasionally,1,Not Started,Weak,19,Placed
27,Female,Civil,5.56,89.49,72.91,0,98.62,Yes,Beginner,Occasionally,10,Not Started,Weak,20,Not Placed
29,Male,Mechanical,8.52,67.57,66.84,2,75.9,No,Beginner,None,1,Good,Good,12,Not Placed
30,Female,ECE,7.7,74.04,67.4,0,80.71,Yes,Advanced,None,6,Basic,Good,18,Placed
30,Female,IT,5.48,85.16,88.67,0,61.83,No,Beginner,None,1,Good,Weak,14,Not Placed
30,Male,IT,6.21,69.63,65.75,1,74.17,Yes,Beginner,None,9,Good,Good,7,Placed
22,Male,ECE,5.06,57.49,60.03,1,71.46,No,Advanced,Occasionally,7,Good,Good,20,Not Placed
23,Male,Other,7.34,71.45,54.07,1,53.74,Yes,Beginner,Regularly,5,Not Started,Weak,9,Not Placed
22,Male,IT,6.51,96.56,72.4,0,55.31,Yes,Beginner,None,6,Not Started,Weak,2,Not Placed
28,Male,Mechanical,7.99,83.24,73.14,3,91.87,No,Advanced,None,6,Not Started,Average,20,Placed
29,Male,CSE,6.49,84.55,90.36,0,61.99,No,Advanced,None,5,Basic,Weak,2,Not Placed
22,Male,Other,6.5,82.82,60.62,0,59.75,No,Intermediate,Regularly,9,Not Started,Good,4,Not Placed
21,Other,Mechanical,8.72,63.76,68.29,3,75.25,No,Beginner,None,10,Basic,Weak,15,Not Placed
20,Female,Civil,5.24,73.41,88.8,1,88.44,No,Intermediate,Regularly,8,Not Started,Weak,16,Not Placed
20,Male,Mechanical,9.51,88.04,89.53,1,53.1,Yes,Intermediate,Occasionally,8,Good,Weak,5,Placed
21,Other,Other,9.26,59.46,68.46,0,78.84,No,Advanced,Occasionally,6,Not Started,Average,19,Placed
26,Other,Civil,8.34,67.23,72.04,3,55.96,Yes,Beginner,Occasionally,8,Basic,Average,19,Not Placed
19,Other,Other,7.97,67.16,64.56,2,51.82,Yes,Beginner,Regularly,9,Basic,Good,15,Placed
26,Female,IT,9.46,74.01,94.76,0,52.64,Yes,Advanced,None,2,Not Started,Average,1,Placed
18,Male,CSE,5.93,98.14,55.69,3,91.71,Yes,Intermediate,None,2,Good,Weak,19,Not Placed
18,Other,Other,5.39,57.97,94.82,0,55.9,Yes,Advanced,None,0,Not Started,Average,14,Not Placed
22,Female,Other,6.2,77.82,82.83,1,52.26,No,Beginner,None,4,Not Started,Weak,17,Not Placed
23,Female,IT,8.97,62.89,75.52,2,71.89,No,Advanced,None,3,Not Started,Average,0,Not Placed
23,Female,AI-ML,5.17,97.71,51.57,2,92.2,Yes,Beginner,Regularly,1,Good,Average,18,Not Placed
20,Other,IT,7.91,59.99,72.83,2,63.12,Yes,Intermediate,Occasionally,8,Basic,Average,11,Placed
24,Male,Civil,9.98,72.76,69.57,0,71.09,No,Beginner,None,2,Good,Weak,7,Placed
26,Other,IT,9.28,87.47,57.74,0,52.0,No,Intermediate,Occasionally,7,Basic,Average,5,Placed
28,Other,IT,7.61,86.0,81.51,1,72.45,Yes,Intermediate,Regularly,5,Basic,Weak,11,Placed
29,Male,CSE,5.32,73.6,96.62,1,78.88,No,Beginner,Regularly,4,Basic,Weak,6,Not Placed
27,Male,IT,9.16,70.25,76.99,2,78.55,No,Beginner,None,0,Good,Good,17,Placed
25,Male,Other,7.99,72.49,84.31,1,66.62,No,Intermediate,Regularly,3,Not Started,Average,13,Not Placed
23,Female,CSE,5.57,66.63,53.29,0,65.78,Yes,Advanced,Occasionally,2,Not Started,Good,7,Not Placed
29,Male,ECE,5.47,64.03,70.05,0,55.33,No,Beginner,None,0,Not Started,Good,19,Not Placed
25,Other,AI-ML,9.55,76.25,55.59,1,68.34,Yes,Intermediate,None,4,Not Started,Weak,13,Placed
29,Male,CSE,8.35,66.82,79.41,3,54.97,Yes,Intermediate,Occasionally,5,Not Started,Average,4,Placed
22,Other,Civil,9.15,67.65,95.05,3,88.33,Yes,Advanced,None,1,Good,Weak,8,Placed
25,Female,ECE,9.39,83.9,81.77,1,98.31,Yes,Beginner,None,2,Good,Weak,7,Placed
27,Other,CSE,7.86,97.62,53.69,0,98.5,Yes,Intermediate,Occasionally,10,Good,Average,1,Placed
29,Other,CSE,7.59,81.56,67.02,3,93.25,No,Advanced,None,5,Good,Weak,15,Placed
21,Male,AI-ML,7.15,58.39,76.43,0,80.04,Yes,Intermediate,None,3,Good,Average,12,Placed
27,Male,Other,6.58,58.33,69.35,0,85.04,Yes,Beginner,Occasionally,8,Good,Average,6,Placed
